 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     243 0.138E-04 0.166E-04 0.111E-04 0.000E+00
     244 0.122E-04 0.220E-04 0.114E-04 0.000E+00
     245 0.118E-04 0.281E-04 0.118E-04 0.000E+00
     246 0.118E-04 0.419E-04 0.890E-05 0.000E+00
     247 0.889E-05 0.186E-04 0.145E-04 0.000E+00
     248 0.902E-05 0.186E-04 0.130E-04 0.000E+00
     249 0.877E-05 0.197E-04 0.133E-04 0.000E+00
     250 0.120E-04 0.197E-04 0.122E-04 0.000E+00
     251 0.102E-04 0.179E-04 0.134E-04 0.000E+00
     252 0.102E-04 0.219E-04 0.882E-05 0.000E+00
     253 0.115E-04 0.181E-04 0.117E-04 0.000E+00
     254 0.115E-04 0.179E-04 0.113E-04 0.000E+00
     255 0.982E-05 0.272E-04 0.952E-05 0.000E+00
     256 0.951E-05 0.197E-04 0.952E-05 0.000E+00
     257 0.105E-04 0.218E-04 0.161E-04 0.000E+00
     258 0.108E-04 0.218E-04 0.132E-04 0.000E+00
     259 0.112E-04 0.239E-04 0.115E-04 0.000E+00
     260 0.925E-05 0.239E-04 0.119E-04 0.000E+00
     261 0.107E-04 0.184E-04 0.128E-04 0.000E+00
     262 0.107E-04 0.158E-04 0.986E-05 0.000E+00
     263 0.102E-04 0.178E-04 0.137E-04 0.000E+00
     264 0.102E-04 0.178E-04 0.126E-04 0.000E+00
     265 0.843E-05 0.195E-04 0.110E-04 0.000E+00
     266 0.108E-04 0.191E-04 0.951E-05 0.000E+00
     267 0.787E-05 0.215E-04 0.121E-04 0.000E+00
     268 0.839E-05 0.216E-04 0.864E-05 0.000E+00
     269 0.710E-05 0.304E-04 0.136E-04 0.000E+00
     270 0.964E-05 0.196E-04 0.108E-04 0.000E+00
     271 0.980E-05 0.162E-04 0.115E-04 0.000E+00
     272 0.980E-05 0.223E-04 0.115E-04 0.000E+00
     273 0.103E-04 0.166E-04 0.125E-04 0.000E+00
     274 0.138E-04 0.228E-04 0.901E-05 0.000E+00
     275 0.798E-05 0.198E-04 0.121E-04 0.000E+00
     276 0.112E-04 0.171E-04 0.164E-04 0.000E+00
     277 0.112E-04 0.169E-04 0.118E-04 0.000E+00
     278 0.106E-04 0.200E-04 0.124E-04 0.000E+00
     279 0.101E-04 0.187E-04 0.134E-04 0.000E+00
     280 0.912E-05 0.187E-04 0.115E-04 0.000E+00
     281 0.979E-05 0.285E-04 0.941E-05 0.000E+00
     282 0.100E-04 0.285E-04 0.875E-05 0.000E+00
     283 0.102E-04 0.224E-04 0.106E-04 0.000E+00
     284 0.102E-04 0.202E-04 0.996E-05 0.000E+00
     285 0.887E-05 0.223E-04 0.108E-04 0.000E+00
     286 0.945E-05 0.162E-04 0.949E-05 0.000E+00
     287 0.111E-04 0.253E-04 0.116E-04 0.000E+00
     288 0.106E-04 0.154E-04 0.947E-05 0.000E+00
     289 0.876E-05 0.255E-04 0.116E-04 0.000E+00
     290 0.843E-05 0.216E-04 0.838E-05 0.000E+00
     291 0.857E-05 0.222E-04 0.134E-04 0.000E+00
     292 0.951E-05 0.220E-04 0.897E-05 0.000E+00
     293 0.154E-04 0.254E-04 0.116E-04 0.000E+00
     294 0.154E-04 0.230E-04 0.937E-05 0.000E+00
     295 0.916E-05 0.245E-04 0.118E-04 0.000E+00
     296 0.997E-05 0.255E-04 0.145E-04 0.000E+00
     297 0.973E-05 0.215E-04 0.160E-04 0.000E+00
     298 0.116E-04 0.213E-04 0.982E-05 0.000E+00
     299 0.112E-04 0.287E-04 0.151E-04 0.000E+00
     300 0.993E-05 0.253E-04 0.936E-05 0.000E+00
     301 0.857E-05 0.422E-04 0.136E-04 0.000E+00
     302 0.951E-05 0.204E-04 0.111E-04 0.000E+00
     303 0.952E-05 0.214E-04 0.145E-04 0.000E+00
     304 0.973E-05 0.184E-04 0.990E-05 0.000E+00
     305 0.826E-05 0.187E-04 0.134E-04 0.000E+00
     306 0.906E-05 0.191E-04 0.996E-05 0.000E+00
     307 0.819E-05 0.223E-04 0.136E-04 0.000E+00
     308 0.918E-05 0.155E-04 0.922E-05 0.000E+00
     309 0.801E-05 0.149E-04 0.130E-04 0.000E+00
     310 0.106E-04 0.194E-04 0.133E-04 0.000E+00
     311 0.822E-05 0.184E-04 0.129E-04 0.000E+00
     312 0.980E-05 0.205E-04 0.121E-04 0.000E+00
     313 0.921E-05 0.295E-04 0.133E-04 0.000E+00
     314 0.839E-05 0.288E-04 0.916E-05 0.000E+00
     315 0.829E-05 0.191E-04 0.118E-04 0.000E+00
     316 0.842E-05 0.174E-04 0.124E-04 0.000E+00
     317 0.903E-05 0.162E-04 0.143E-04 0.000E+00
     318 0.102E-04 0.161E-04 0.903E-05 0.000E+00
     319 0.841E-05 0.246E-04 0.127E-04 0.000E+00
     320 0.983E-05 0.294E-04 0.178E-04 0.000E+00
     321 0.112E-04 0.219E-04 0.114E-04 0.000E+00
     322 0.112E-04 0.200E-04 0.112E-04 0.000E+00
     323 0.138E-04 0.217E-04 0.157E-04 0.000E+00
     324 0.966E-05 0.221E-04 0.110E-04 0.000E+00
     325 0.154E-04 0.250E-04 0.125E-04 0.000E+00
