 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     388 0.853E-01 0.221E-01 0.172E-01 0.000E+00
     389 0.100E+00 0.222E-01 0.204E-01 0.000E+00
     390 0.881E-01 0.230E-01 0.174E-01 0.000E+00
     391 0.103E+00 0.232E-01 0.205E-01 0.000E+00
     392 0.905E-01 0.238E-01 0.175E-01 0.000E+00
     393 0.105E+00 0.241E-01 0.206E-01 0.000E+00
     394 0.926E-01 0.245E-01 0.176E-01 0.000E+00
     395 0.108E+00 0.252E-01 0.206E-01 0.000E+00
     396 0.944E-01 0.254E-01 0.176E-01 0.000E+00
     397 0.109E+00 0.261E-01 0.205E-01 0.000E+00
     398 0.960E-01 0.263E-01 0.176E-01 0.000E+00
     399 0.110E+00 0.270E-01 0.203E-01 0.000E+00
     400 0.972E-01 0.271E-01 0.175E-01 0.000E+00
     401 0.111E+00 0.278E-01 0.201E-01 0.000E+00
     402 0.981E-01 0.278E-01 0.174E-01 0.000E+00
     403 0.113E+00 0.286E-01 0.199E-01 0.000E+00
     404 0.990E-01 0.286E-01 0.173E-01 0.000E+00
     405 0.114E+00 0.294E-01 0.196E-01 0.000E+00
     406 0.999E-01 0.295E-01 0.172E-01 0.000E+00
     407 0.115E+00 0.304E-01 0.193E-01 0.000E+00
     408 0.101E+00 0.304E-01 0.170E-01 0.000E+00
     409 0.116E+00 0.314E-01 0.190E-01 0.000E+00
     410 0.102E+00 0.314E-01 0.168E-01 0.000E+00
     411 0.117E+00 0.323E-01 0.187E-01 0.000E+00
     412 0.102E+00 0.324E-01 0.166E-01 0.000E+00
     413 0.118E+00 0.333E-01 0.183E-01 0.000E+00
     414 0.103E+00 0.335E-01 0.165E-01 0.000E+00
     415 0.119E+00 0.342E-01 0.180E-01 0.000E+00
     416 0.104E+00 0.344E-01 0.163E-01 0.000E+00
     417 0.121E+00 0.350E-01 0.176E-01 0.000E+00
     418 0.105E+00 0.354E-01 0.160E-01 0.000E+00
     419 0.122E+00 0.358E-01 0.173E-01 0.000E+00
     420 0.107E+00 0.365E-01 0.158E-01 0.000E+00
     421 0.123E+00 0.368E-01 0.169E-01 0.000E+00
     422 0.107E+00 0.376E-01 0.155E-01 0.000E+00
     423 0.122E+00 0.378E-01 0.167E-01 0.000E+00
     424 0.106E+00 0.387E-01 0.151E-01 0.000E+00
     425 0.121E+00 0.388E-01 0.165E-01 0.000E+00
     426 0.105E+00 0.397E-01 0.148E-01 0.000E+00
     427 0.118E+00 0.397E-01 0.162E-01 0.000E+00
     428 0.103E+00 0.406E-01 0.145E-01 0.000E+00
     429 0.115E+00 0.403E-01 0.161E-01 0.000E+00
     430 0.998E-01 0.413E-01 0.141E-01 0.000E+00
     431 0.111E+00 0.409E-01 0.159E-01 0.000E+00
     432 0.966E-01 0.423E-01 0.138E-01 0.000E+00
